,redshift,Xe
0,10000.0,1.1590267713
1,9990.0,1.1590267713
2,9980.0,1.1590267713
3,9970.0,1.1590267713
4,9960.0,1.1590267713
5,9950.0,1.1590267713
6,9940.0,1.1590267713
7,9930.0,1.1590267713
8,9920.0,1.1590267713
9,9910.0,1.1590267713
10,9900.0,1.1590267713
11,9890.0,1.1590267713
12,9880.0,1.1590267713
13,9870.0,1.1590267713
14,9860.0,1.1590267713
15,9850.0,1.1590267713
16,9840.0,1.1590267713
17,9830.0,1.1590267713
18,9820.0,1.1590267713
19,9810.0,1.1590267713
20,9800.0,1.1590267713
21,9790.0,1.1590267713
22,9780.0,1.1590267713
23,9770.0,1.1590267713
24,9760.0,1.1590267713
25,9750.0,1.1590267713
26,9740.0,1.1590267713
27,9730.0,1.1590267713
28,9720.0,1.1590267713
29,9710.0,1.1590267713
30,9700.0,1.1590267713
31,9690.0,1.1590267713
32,9680.0,1.1590267713
33,9670.0,1.1590267713
34,9660.0,1.1590267713
35,9650.0,1.1590267713
36,9640.0,1.1590267713
37,9630.0,1.1590267713
38,9620.0,1.1590267713
39,9610.0,1.1590267713
40,9600.0,1.1590267713
41,9590.0,1.1590267713
42,9580.0,1.1590267713
43,9570.0,1.1590267713
44,9560.0,1.1590267713
45,9550.0,1.1590267713
46,9540.0,1.1590267713
47,9530.0,1.1590267713
48,9520.0,1.1590267713
49,9510.0,1.1590267713
50,9500.0,1.1590267713
51,9490.0,1.1590267713
52,9480.0,1.1590267713
53,9470.0,1.1590267713
54,9460.0,1.1590267713
55,9450.0,1.1590267713
56,9440.0,1.1590267713
57,9430.0,1.1590267713
58,9420.0,1.1590267713
59,9410.0,1.1590267713
60,9400.0,1.1590267713
61,9390.0,1.1590267713
62,9380.0,1.1590267713
63,9370.0,1.1590267713
64,9360.0,1.1590267713
65,9350.0,1.1590267713
66,9340.0,1.1590267713
67,9330.0,1.1590267713
68,9320.0,1.1590267713
69,9310.0,1.1590267713
70,9300.0,1.1590267713
71,9290.0,1.1590267713
72,9280.0,1.1590267713
73,9270.0,1.1590267713
74,9260.0,1.1590267713
75,9250.0,1.1590267713
76,9240.0,1.1590267713
77,9230.0,1.1590267713
78,9220.0,1.1590267713
79,9210.0,1.1590267713
80,9200.0,1.1590267713
